"Story","Title","Result","Date","Stability","Duration (s)"
"Get All User","As a user I can get all user with valid credentials","FAILURE","2023-12-20T23:19:01.3588093+07:00[Asia/Jakarta]","0.0","0.21"
"Get All User","As a user I can not get all user with invalid endpoint","SUCCESS","2023-12-20T23:19:01.6074009+07:00[Asia/Jakarta]","0.0","0.12"
"Get All User","As a user I can not get all user with post request","SUCCESS","2023-12-20T23:19:01.7449289+07:00[Asia/Jakarta]","0.0","0.1"
"Get All User","As a user I can not get all user with put request","SUCCESS","2023-12-20T23:19:01.8614883+07:00[Asia/Jakarta]","0.0","0.1"
"User Login","As a user I can login with valid credentials","SUCCESS","2023-12-20T23:19:01.9750124+07:00[Asia/Jakarta]","0.0","0.2"
"User Login","As a user I can not login with unregistered username","SUCCESS","2023-12-20T23:19:02.1848993+07:00[Asia/Jakarta]","0.0","0.09"
"User Login","As a user I can not login with integer password","SUCCESS","2023-12-20T23:19:02.2854368+07:00[Asia/Jakarta]","0.0","0.08"
"User Login","As a user I can not login with empty username","SUCCESS","2023-12-20T23:19:02.3769581+07:00[Asia/Jakarta]","0.0","0.08"
"User Login","As a user I can not login with empty password","SUCCESS","2023-12-20T23:19:02.4704822+07:00[Asia/Jakarta]","0.0","0.09"
"User Login","As a user I can not login with get request","SUCCESS","2023-12-20T23:19:02.5700106+07:00[Asia/Jakarta]","0.0","0.09"
"User Login","As a user I can not login with put request","SUCCESS","2023-12-20T23:19:02.6675581+07:00[Asia/Jakarta]","0.0","0.09"
