"Story","Title","Result","Date","Stability","Duration (s)"
"OTP","As a user I can send otp with valid credentials","FAILURE","2023-12-18T02:56:14.3329082+07:00[Asia/Jakarta]","0.0","0.16"
"OTP","As a user I can not send otp with invalid endpoint","SUCCESS","2023-12-18T02:56:14.5212772+07:00[Asia/Jakarta]","0.0","0.11"
"OTP","As a user I can not send otp without token","SUCCESS","2023-12-18T02:56:14.6467496+07:00[Asia/Jakarta]","0.0","0.09"
"Get All User","As a user I can get all user with valid credentials","SUCCESS","2023-12-18T02:56:14.7722111+07:00[Asia/Jakarta]","0.0","0.42"
"Get All User","As a user I can not get all user with invalid endpoint","SUCCESS","2023-12-18T02:56:15.2204598+07:00[Asia/Jakarta]","0.0","0.12"
"Get All User","As a user I can not get all user with post request","SUCCESS","2023-12-18T02:56:15.3534823+07:00[Asia/Jakarta]","0.0","0.14"
"Get All User","As a user I can not get all user with put request","SUCCESS","2023-12-18T02:56:15.5212257+07:00[Asia/Jakarta]","0.0","0.15"
"User Login","As a user I can login with valid credentials","SUCCESS","2023-12-18T02:56:15.6829783+07:00[Asia/Jakarta]","0.0","0.39"
"User Login","As a user I can not login with unregistered username","SUCCESS","2023-12-18T02:56:16.1384027+07:00[Asia/Jakarta]","0.0","0.17"
"User Login","As a user I can not login with integer password","SUCCESS","2023-12-18T02:56:16.3232842+07:00[Asia/Jakarta]","0.0","0.1"
"User Login","As a user I can not login with empty username","SUCCESS","2023-12-18T02:56:16.4366133+07:00[Asia/Jakarta]","0.0","0.1"
"User Login","As a user I can not login with empty password","SUCCESS","2023-12-18T02:56:16.555278+07:00[Asia/Jakarta]","0.0","0.09"
"User Login","As a user I can not login with get request","SUCCESS","2023-12-18T02:56:16.6650974+07:00[Asia/Jakarta]","0.0","0.09"
"User Login","As a user I can not login with put request","SUCCESS","2023-12-18T02:56:16.7592656+07:00[Asia/Jakarta]","0.0","0.11"
"Get All Category","As a user I can get all category with valid credentials","SUCCESS","2023-12-18T02:56:16.9003381+07:00[Asia/Jakarta]","0.0","0.47"
"Get All Category","As a user I can not get all category with invalid endpoint","SUCCESS","2023-12-18T02:56:17.4343014+07:00[Asia/Jakarta]","0.0","0.16"
"Get All Category","As a user I can not get all category without token","FAILURE","2023-12-18T02:56:17.6066571+07:00[Asia/Jakarta]","0.0","0.36"
"Get Complaint By Id","As a user I can get category by id with valid credentials","SUCCESS","2023-12-18T02:56:18.0771405+07:00[Asia/Jakarta]","0.0","0.31"
"Get Complaint By Id","As a user I can not get category by id with invalid endpoint","SUCCESS","2023-12-18T02:56:18.4066005+07:00[Asia/Jakarta]","0.0","0.2"
"Get Complaint By Id","As a user I can not get category by id without token","FAILURE","2023-12-18T02:56:18.6283074+07:00[Asia/Jakarta]","0.0","0.2"
"Create Room","As a user I can create room chat with valid credentials","FAILURE","2023-12-18T02:56:19.129609+07:00[Asia/Jakarta]","0.0","0.24"
"Create Room","As a user I can not create room chat with invalid endpoint","SUCCESS","2023-12-18T02:56:19.3803848+07:00[Asia/Jakarta]","0.0","0.14"
"Create Room","As a user I can not create room chat without token","SUCCESS","2023-12-18T02:56:19.5375529+07:00[Asia/Jakarta]","0.0","0.14"
"Get Chat By Room Id","As a user I can get chat by room id with valid credentials","ERROR","2023-12-18T02:56:19.7415901+07:00[Asia/Jakarta]","0.0","0.3"
"Get Chat By Room Id","As a user I can not get chat by room id with invalid endpoint","ERROR","2023-12-18T02:56:20.0867984+07:00[Asia/Jakarta]","0.0","0.16"
"Get Chat By Room Id","As a user I can not get chat by room id without token","SUCCESS","2023-12-18T02:56:20.2752235+07:00[Asia/Jakarta]","0.0","0.14"
"Create Complaint","As a user I can not create complaint with invalid endpoint","SUCCESS","2023-12-18T02:56:22.90874+07:00[Asia/Jakarta]","0.0","0.33"
"Create Complaint","As a user I can not create complaint without attachment","SUCCESS","2023-12-18T02:56:27.6497607+07:00[Asia/Jakarta]","0.0","0.22"
"Create Complaint","As a user I can not create complaint without login","SUCCESS","2023-12-18T02:56:27.883438+07:00[Asia/Jakarta]","0.0","0.42"
"Get All Complaint","As a user I can get all complaint with valid credentials","SUCCESS","2023-12-18T02:56:28.3544852+07:00[Asia/Jakarta]","0.0","0.5"
"Get All Complaint","As a user I can not get all complaint with invalid endpoint","SUCCESS","2023-12-18T02:56:28.8719261+07:00[Asia/Jakarta]","0.0","0.13"
"Get Complaint By Id","As a user I can get complaint by id with valid credentials","SUCCESS","2023-12-18T02:56:29.0130012+07:00[Asia/Jakarta]","0.0","0.14"
"Get Complaint By Id","As a user I can not get complaint by id with invalid endpoint","SUCCESS","2023-12-18T02:56:29.1545204+07:00[Asia/Jakarta]","0.0","0.09"
"Get Complaint By Status","As a user I can get solved complaint with valid credentials","SUCCESS","2023-12-18T02:56:29.2533635+07:00[Asia/Jakarta]","0.0","0.17"
"Get Complaint By Status","As a user I can not get complaint by status with invalid endpoint","SUCCESS","2023-12-18T02:56:29.4377631+07:00[Asia/Jakarta]","0.0","0.13"
"FAQ","As a user I can get all faq with valid credentials","SUCCESS","2023-12-18T02:56:29.6105411+07:00[Asia/Jakarta]","0.0","0.27"
"FAQ","As a user I can not get all faq with invalid endpoint","SUCCESS","2023-12-18T02:56:29.9400651+07:00[Asia/Jakarta]","0.0","0.3"
"FAQ","As a user I can not get all faq without token","FAILURE","2023-12-18T02:56:30.2700115+07:00[Asia/Jakarta]","0.0","0.41"
