"Story","Title","Result","Date","Stability","Duration (s)"
"Get All Admin","As an admin I can get all admin with valid credentials","SUCCESS","2023-12-21T10:46:19.893994+07:00[Asia/Jakarta]","0.0","7.99"
"Get All Admin","As an admin I cannot get all admin with invalid Api Endpoint","SUCCESS","2023-12-21T10:46:27.9392786+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Admin","As an admin I cannot get all admin with invalid token","SUCCESS","2023-12-21T10:46:28.2092909+07:00[Asia/Jakarta]","0.0","0.19"
"Get All Admin","As an admin I cannot get all admin with invalid credentials","SUCCESS","2023-12-21T10:46:28.4363066+07:00[Asia/Jakarta]","0.0","0.13"
"Admin Login","As an admin I can login with valid credentials","SUCCESS","2023-12-21T10:46:28.6003217+07:00[Asia/Jakarta]","0.0","1.85"
"Admin Login","As an admin I can not login with invalid endpoint","SUCCESS","2023-12-21T10:46:30.4874581+07:00[Asia/Jakarta]","0.0","0.12"
"Admin Login","As an admin I can not login with invalid username","SUCCESS","2023-12-21T10:46:30.6344731+07:00[Asia/Jakarta]","0.0","0.19"
"Admin Login","As an admin I can not login with invalid password","SUCCESS","2023-12-21T10:46:30.867488+07:00[Asia/Jakarta]","0.0","0.25"
"Admin Login","As an admin I can not login with empty username","SUCCESS","2023-12-21T10:46:31.1635096+07:00[Asia/Jakarta]","0.0","0.25"
"Admin Login","As an admin I can not login with empty password","SUCCESS","2023-12-21T10:46:31.4415278+07:00[Asia/Jakarta]","0.0","0.22"
"Admin Login","As an admin I can not login with integer password","SUCCESS","2023-12-21T10:46:31.6765458+07:00[Asia/Jakarta]","0.0","0.17"
"Admin Login","As an admin I can not login with get request","SUCCESS","2023-12-21T10:46:31.8705587+07:00[Asia/Jakarta]","0.0","0.45"
"Admin Login","As an admin I can not login with put request","SUCCESS","2023-12-21T10:46:32.3442452+07:00[Asia/Jakarta]","0.0","0.1"
"Admin Login","As an admin I can not login with delete request","SUCCESS","2023-12-21T10:46:32.4662508+07:00[Asia/Jakarta]","0.0","0.43"
"Register Admin","As an admin I can register with valid credentials","SUCCESS","2023-12-21T10:46:32.9149431+07:00[Asia/Jakarta]","0.0","2.84"
"Register Admin","As an admin I can not register with invalid endpoint","SUCCESS","2023-12-21T10:46:35.7798436+07:00[Asia/Jakarta]","0.0","0.37"
"Register Admin","As an admin I can not register with username of more than 16 characters","SUCCESS","2023-12-21T10:46:36.1908703+07:00[Asia/Jakarta]","0.0","0.23"
"Register Admin","As an admin I can not register with empty name","SUCCESS","2023-12-21T10:46:36.442891+07:00[Asia/Jakarta]","0.0","0.18"
