"Story","Title","Result","Date","Stability","Duration (s)"
"Update Admin","As an admin I can update admin with valid credentials","SUCCESS","2023-12-18T02:56:06.5369085+07:00[Asia/Jakarta]","0.0","0.66"
"Update Admin","As an admin I can not update admin with invalid endpoint","SUCCESS","2023-12-18T02:56:07.243221+07:00[Asia/Jakarta]","0.0","0.19"
"Update Admin","As an admin I can not update admin with invalid id","SUCCESS","2023-12-18T02:56:07.4628949+07:00[Asia/Jakarta]","0.0","0.19"
"Update Admin","As an admin I can not update admin with username of more than 16 characters","SUCCESS","2023-12-18T02:56:07.6820386+07:00[Asia/Jakarta]","0.0","0.13"
"Update Admin","As an admin I can not update admin with empty name","SUCCESS","2023-12-18T02:56:07.8235698+07:00[Asia/Jakarta]","0.0","0.55"
"Update Admin","As an admin I can not update admin with empty username","SUCCESS","2023-12-18T02:56:08.5299002+07:00[Asia/Jakarta]","0.0","0.44"
"Update Admin","As an admin I can not update admin with empty email","SUCCESS","2023-12-18T02:56:09.0321439+07:00[Asia/Jakarta]","0.0","0.46"
"Update Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-18T02:56:09.5028371+07:00[Asia/Jakarta]","0.0","0.35"
"Update Admin","As an admin I can not update admin with empty password","SUCCESS","2023-12-18T02:56:09.8640675+07:00[Asia/Jakarta]","0.0","0.44"
"Update Admin","As an admin I can not update admin with integer password","SUCCESS","2023-12-18T02:56:10.3194179+07:00[Asia/Jakarta]","0.0","0.19"
"Update Admin","As an admin I can not update admin with post request","SUCCESS","2023-12-18T02:56:11.2185033+07:00[Asia/Jakarta]","0.0","0.47"
