"Story","Title","Result","Date","Stability","Duration (s)"
"Search Admin By Id","As an admin I can not search admin with query params id&name","FAILURE","2023-12-18T02:56:04.4029187+07:00[Asia/Jakarta]","0.0","0.52"
"Search Admin By Name","As an admin I can search admin by name with valid credentials","FAILURE","2023-12-18T02:56:05.4699268+07:00[Asia/Jakarta]","0.0","0.27"
"Search Admin By Name","As an admin I can not search admin by name with invalid endpoint","FAILURE","2023-12-18T02:56:05.7993337+07:00[Asia/Jakarta]","0.0","0.39"
"Update Admin","As an admin I can not update admin with registered email","FAILURE","2023-12-18T02:56:10.5414658+07:00[Asia/Jakarta]","0.0","0.33"
"Update Admin","As an admin I can not update admin with registered username","FAILURE","2023-12-18T02:56:10.9202525+07:00[Asia/Jakarta]","0.0","0.27"
"Complaint Solved Statistic","As an admin I can get complaint solved statistic with valid credentials","ERROR","2023-12-18T02:56:11.7252865+07:00[Asia/Jakarta]","0.0","0.27"
"Complaint Solved Statistic","As an admin I can not get complaint solved statistic with invalid endpoint","ERROR","2023-12-18T02:56:12.0069639+07:00[Asia/Jakarta]","0.0","0.14"
"Complaint Statistic","As an admin I can get complaint statistic with valid credentials","FAILURE","2023-12-18T02:56:12.3368886+07:00[Asia/Jakarta]","0.0","0.15"
"Complaint Statistic","As an admin I can not get complaint statistic with invalid endpoint","FAILURE","2023-12-18T02:56:12.5311178+07:00[Asia/Jakarta]","0.0","0.23"
"OTP Admin","As an admin I can send otp with valid credentials","FAILURE","2023-12-18T02:56:13.8619484+07:00[Asia/Jakarta]","0.0","0.14"
