"Story","Title","Result","Date","Stability","Duration (s)"
"Register Admin","As an admin I can register with valid credentials","SUCCESS","2023-12-20T23:18:44.2180644+07:00[Asia/Jakarta]","0.0","0.86"
"Register Admin","As an admin I can not register with invalid endpoint","SUCCESS","2023-12-20T23:18:45.091877+07:00[Asia/Jakarta]","0.0","0.2"
"Register Admin","As an admin I can not register with username of more than 16 characters","SUCCESS","2023-12-20T23:18:45.3149194+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with empty name","SUCCESS","2023-12-20T23:18:45.5279766+07:00[Asia/Jakarta]","0.0","0.18"
"Register Admin","As an admin I can not register with empty username","SUCCESS","2023-12-20T23:18:45.717959+07:00[Asia/Jakarta]","0.0","0.3"
"Register Admin","As an admin I can not register with empty email","SUCCESS","2023-12-20T23:18:46.0540602+07:00[Asia/Jakarta]","0.0","0.26"
"Register Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-20T23:18:46.3281205+07:00[Asia/Jakarta]","0.0","0.21"
"Register Admin","As an admin I can not register with empty password","SUCCESS","2023-12-20T23:18:46.5547218+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with integer password","SUCCESS","2023-12-20T23:18:46.7637911+07:00[Asia/Jakarta]","0.0","0.15"
"Register Admin","As an admin I can not register with registered email","SUCCESS","2023-12-20T23:18:46.9293432+07:00[Asia/Jakarta]","0.0","0.15"
"Register Admin","As an admin I can not register with registered username","SUCCESS","2023-12-20T23:18:47.1014226+07:00[Asia/Jakarta]","0.0","0.15"
"Register Admin","As an admin I can not register with get request","SUCCESS","2023-12-20T23:18:47.2630052+07:00[Asia/Jakarta]","0.0","0.11"
"Register Admin","As an admin I can not register with put request","SUCCESS","2023-12-20T23:18:47.3965288+07:00[Asia/Jakarta]","0.0","0.15"
"Register Admin","As an admin I can not register with delete request","SUCCESS","2023-12-20T23:18:47.5786035+07:00[Asia/Jakarta]","0.0","0.12"
