"Story","Title","Result","Date","Stability","Duration (s)"
"Update Admin","As an admin I can update admin with valid credentials","SUCCESS","2023-12-20T23:18:50.5229976+07:00[Asia/Jakarta]","0.0","0.3"
"Update Admin","As an admin I can not update admin with invalid endpoint","SUCCESS","2023-12-20T23:18:50.8356191+07:00[Asia/Jakarta]","0.0","0.1"
"Update Admin","As an admin I can not update admin with invalid id","SUCCESS","2023-12-20T23:18:50.9511499+07:00[Asia/Jakarta]","0.0","0.12"
"Update Admin","As an admin I can not update admin with username of more than 16 characters","SUCCESS","2023-12-20T23:18:51.0972207+07:00[Asia/Jakarta]","0.0","0.12"
"Update Admin","As an admin I can not update admin with empty name","SUCCESS","2023-12-20T23:18:51.232762+07:00[Asia/Jakarta]","0.0","0.23"
"Update Admin","As an admin I can not update admin with empty username","SUCCESS","2023-12-20T23:18:51.470798+07:00[Asia/Jakarta]","0.0","0.24"
"Update Admin","As an admin I can not update admin with empty email","SUCCESS","2023-12-20T23:18:51.7313711+07:00[Asia/Jakarta]","0.0","0.27"
"Update Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-20T23:18:52.0056017+07:00[Asia/Jakarta]","0.0","0.24"
"Update Admin","As an admin I can not update admin with empty password","SUCCESS","2023-12-20T23:18:52.2557011+07:00[Asia/Jakarta]","0.0","0.22"
"Update Admin","As an admin I can not update admin with integer password","SUCCESS","2023-12-20T23:18:52.4872775+07:00[Asia/Jakarta]","0.0","0.1"
"Update Admin","As an admin I can not update admin with post request","SUCCESS","2023-12-20T23:18:53.3850759+07:00[Asia/Jakarta]","0.0","0.11"
