"Story","Title","Result","Date","Stability","Duration (s)"
"Register Admin","As an admin I can not register with invalid endpoint","SUCCESS","2023-12-21T10:46:35.7798436+07:00[Asia/Jakarta]","0.0","0.37"
"Register Admin","As an admin I can not register with username of more than 16 characters","SUCCESS","2023-12-21T10:46:36.1908703+07:00[Asia/Jakarta]","0.0","0.23"
"Register Admin","As an admin I can not register with empty name","SUCCESS","2023-12-21T10:46:36.442891+07:00[Asia/Jakarta]","0.0","0.18"
"Register Admin","As an admin I can not register with empty username","SUCCESS","2023-12-21T10:46:36.6609076+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with empty email","SUCCESS","2023-12-21T10:46:36.8739227+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-21T10:46:37.0829393+07:00[Asia/Jakarta]","0.0","0.2"
"Register Admin","As an admin I can not register with empty password","SUCCESS","2023-12-21T10:46:37.3199537+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with integer password","SUCCESS","2023-12-21T10:46:37.5379691+07:00[Asia/Jakarta]","0.0","0.18"
"Register Admin","As an admin I can not register with registered email","SUCCESS","2023-12-21T10:46:37.7659857+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with registered username","SUCCESS","2023-12-21T10:46:37.9790026+07:00[Asia/Jakarta]","0.0","0.22"
"Register Admin","As an admin I can not register with get request","SUCCESS","2023-12-21T10:46:38.2160232+07:00[Asia/Jakarta]","0.0","0.13"
"Register Admin","As an admin I can not register with put request","SUCCESS","2023-12-21T10:46:38.3780333+07:00[Asia/Jakarta]","0.0","0.12"
"Register Admin","As an admin I can not register with delete request","SUCCESS","2023-12-21T10:46:38.5250433+07:00[Asia/Jakarta]","0.0","0.12"
