"Story","Title","Result","Date","Stability","Duration (s)"
"Admin Login","As an admin I can login with valid credentials","SUCCESS","2023-12-21T10:46:28.6003217+07:00[Asia/Jakarta]","0.0","1.85"
"Admin Login","As an admin I can not login with invalid endpoint","SUCCESS","2023-12-21T10:46:30.4874581+07:00[Asia/Jakarta]","0.0","0.12"
"Admin Login","As an admin I can not login with invalid username","SUCCESS","2023-12-21T10:46:30.6344731+07:00[Asia/Jakarta]","0.0","0.19"
"Admin Login","As an admin I can not login with invalid password","SUCCESS","2023-12-21T10:46:30.867488+07:00[Asia/Jakarta]","0.0","0.25"
"Admin Login","As an admin I can not login with empty username","SUCCESS","2023-12-21T10:46:31.1635096+07:00[Asia/Jakarta]","0.0","0.25"
"Admin Login","As an admin I can not login with empty password","SUCCESS","2023-12-21T10:46:31.4415278+07:00[Asia/Jakarta]","0.0","0.22"
"Admin Login","As an admin I can not login with integer password","SUCCESS","2023-12-21T10:46:31.6765458+07:00[Asia/Jakarta]","0.0","0.17"
"Admin Login","As an admin I can not login with get request","SUCCESS","2023-12-21T10:46:31.8705587+07:00[Asia/Jakarta]","0.0","0.45"
"Admin Login","As an admin I can not login with put request","SUCCESS","2023-12-21T10:46:32.3442452+07:00[Asia/Jakarta]","0.0","0.1"
"Admin Login","As an admin I can not login with delete request","SUCCESS","2023-12-21T10:46:32.4662508+07:00[Asia/Jakarta]","0.0","0.43"
