"Story","Title","Result","Date","Stability","Duration (s)"
"Create Complaint","As a user I can create complaint with valid credentials","SUCCESS","2023-12-21T10:47:05.7906875+07:00[Asia/Jakarta]","0.0","2.26"
"Create Complaint","As a user I can not create complaint with invalid endpoint","SUCCESS","2023-12-21T10:47:08.4838817+07:00[Asia/Jakarta]","0.0","0.43"
"Create Complaint","As a user I can not create complaint with invalid ID","SUCCESS","2023-12-21T10:47:08.9220704+07:00[Asia/Jakarta]","0.0","1.37"
"Create Complaint","As a user I can not create complaint without title","SUCCESS","2023-12-21T10:47:10.3239351+07:00[Asia/Jakarta]","0.0","1.56"
"Create Complaint","As a user I can not create complaint without content","SUCCESS","2023-12-21T10:47:11.892149+07:00[Asia/Jakarta]","0.0","1.31"
"Create Complaint","As a user I can not create complaint without attachment","SUCCESS","2023-12-21T10:47:13.218233+07:00[Asia/Jakarta]","0.0","0.11"
"Create Complaint","As a user I can not create complaint without login","SUCCESS","2023-12-21T10:47:13.3792441+07:00[Asia/Jakarta]","0.0","0.58"
"Get All Complaint","As a user I can get all complaint with valid credentials","SUCCESS","2023-12-21T10:47:13.9932905+07:00[Asia/Jakarta]","0.0","0.15"
"Get All Complaint","As a user I can not get all complaint with invalid endpoint","SUCCESS","2023-12-21T10:47:14.1573693+07:00[Asia/Jakarta]","0.0","0.08"
"Get Complaint By Id","As a user I can get complaint by id with valid credentials","SUCCESS","2023-12-21T10:47:14.2553682+07:00[Asia/Jakarta]","0.0","0.25"
"Get Complaint By Id","As a user I can not get complaint by id with invalid endpoint","SUCCESS","2023-12-21T10:47:14.5113876+07:00[Asia/Jakarta]","0.0","0.08"
"Get Complaint By Status","As a user I can get solved complaint with valid credentials","SUCCESS","2023-12-21T10:47:14.611398+07:00[Asia/Jakarta]","0.0","0.19"
"Get Complaint By Status","As a user I can get unsolved complaint with valid credentials","SUCCESS","2023-12-21T10:47:14.813237+07:00[Asia/Jakarta]","0.0","0.09"
"Get Complaint By Status","As a user I can not get complaint by status with invalid endpoint","SUCCESS","2023-12-21T10:47:14.9182803+07:00[Asia/Jakarta]","0.0","0.07"
