"Story","Title","Result","Date","Stability","Duration (s)"
"Admin Login","As an admin I can not login with invalid endpoint","SUCCESS","2023-12-20T23:18:42.2015279+07:00[Asia/Jakarta]","0.0","0.17"
"Admin Login","As an admin I can not login with invalid username","SUCCESS","2023-12-20T23:18:42.4216004+07:00[Asia/Jakarta]","0.0","0.19"
"Admin Login","As an admin I can not login with invalid password","SUCCESS","2023-12-20T23:18:42.6511856+07:00[Asia/Jakarta]","0.0","0.22"
"Admin Login","As an admin I can not login with empty username","SUCCESS","2023-12-20T23:18:42.915238+07:00[Asia/Jakarta]","0.0","0.25"
"Admin Login","As an admin I can not login with empty password","SUCCESS","2023-12-20T23:18:43.2108119+07:00[Asia/Jakarta]","0.0","0.22"
"Admin Login","As an admin I can not login with integer password","SUCCESS","2023-12-20T23:18:43.4553709+07:00[Asia/Jakarta]","0.0","0.16"
"Admin Login","As an admin I can not login with get request","SUCCESS","2023-12-20T23:18:43.6339153+07:00[Asia/Jakarta]","0.0","0.22"
"Admin Login","As an admin I can not login with put request","SUCCESS","2023-12-20T23:18:43.868484+07:00[Asia/Jakarta]","0.0","0.11"
"Admin Login","As an admin I can not login with delete request","SUCCESS","2023-12-20T23:18:43.9940187+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with invalid endpoint","SUCCESS","2023-12-20T23:18:45.091877+07:00[Asia/Jakarta]","0.0","0.2"
"Register Admin","As an admin I can not register with username of more than 16 characters","SUCCESS","2023-12-20T23:18:45.3149194+07:00[Asia/Jakarta]","0.0","0.19"
"Register Admin","As an admin I can not register with empty name","SUCCESS","2023-12-20T23:18:45.5279766+07:00[Asia/Jakarta]","0.0","0.18"
"Register Admin","As an admin I can not register with empty username","SUCCESS","2023-12-20T23:18:45.717959+07:00[Asia/Jakarta]","0.0","0.3"
"Register Admin","As an admin I can not register with empty email","SUCCESS","2023-12-20T23:18:46.0540602+07:00[Asia/Jakarta]","0.0","0.26"
