"Story","Title","Result","Date","Stability","Duration (s)"
"Get All User","As a user I can get all user with valid credentials","SUCCESS","2023-12-18T02:56:14.7722111+07:00[Asia/Jakarta]","0.0","0.42"
"Get All User","As a user I can not get all user with invalid endpoint","SUCCESS","2023-12-18T02:56:15.2204598+07:00[Asia/Jakarta]","0.0","0.12"
"Get All User","As a user I can not get all user with post request","SUCCESS","2023-12-18T02:56:15.3534823+07:00[Asia/Jakarta]","0.0","0.14"
"Get All User","As a user I can not get all user with put request","SUCCESS","2023-12-18T02:56:15.5212257+07:00[Asia/Jakarta]","0.0","0.15"
"User Login","As a user I can login with valid credentials","SUCCESS","2023-12-18T02:56:15.6829783+07:00[Asia/Jakarta]","0.0","0.39"
"User Login","As a user I can not login with unregistered username","SUCCESS","2023-12-18T02:56:16.1384027+07:00[Asia/Jakarta]","0.0","0.17"
"User Login","As a user I can not login with integer password","SUCCESS","2023-12-18T02:56:16.3232842+07:00[Asia/Jakarta]","0.0","0.1"
"User Login","As a user I can not login with empty username","SUCCESS","2023-12-18T02:56:16.4366133+07:00[Asia/Jakarta]","0.0","0.1"
"User Login","As a user I can not login with empty password","SUCCESS","2023-12-18T02:56:16.555278+07:00[Asia/Jakarta]","0.0","0.09"
"User Login","As a user I can not login with get request","SUCCESS","2023-12-18T02:56:16.6650974+07:00[Asia/Jakarta]","0.0","0.09"
"User Login","As a user I can not login with put request","SUCCESS","2023-12-18T02:56:16.7592656+07:00[Asia/Jakarta]","0.0","0.11"
