"Story","Title","Result","Date","Stability","Duration (s)"
"Reset Password Admin","As an admin I can reset password with valid credentials","SUCCESS","2023-12-21T10:46:38.6760531+07:00[Asia/Jakarta]","0.0","0.29"
"Search Admin By Id","As an admin I can search admin by id with valid credentials","SUCCESS","2023-12-21T10:46:39.5231173+07:00[Asia/Jakarta]","0.0","0.15"
"Search Admin By Name","As an admin I can search admin by name with valid credentials","SUCCESS","2023-12-21T10:46:40.0251539+07:00[Asia/Jakarta]","0.0","0.12"
"Update Admin","As an admin I can update admin with valid credentials","SUCCESS","2023-12-21T10:46:40.425185+07:00[Asia/Jakarta]","0.0","0.27"
"Update Admin","As an admin I can not update admin with empty name","SUCCESS","2023-12-21T10:46:41.0032256+07:00[Asia/Jakarta]","0.0","0.33"
"Update Admin","As an admin I can not update admin with empty username","SUCCESS","2023-12-21T10:46:41.3522481+07:00[Asia/Jakarta]","0.0","0.27"
"Update Admin","As an admin I can not update admin with empty email","SUCCESS","2023-12-21T10:46:41.6372705+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-21T10:46:41.9542942+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not update admin with empty password","SUCCESS","2023-12-21T10:46:42.2573171+07:00[Asia/Jakarta]","0.0","0.28"
"Update Admin","As an admin I can not update admin with integer password","SUCCESS","2023-12-21T10:46:42.5481289+07:00[Asia/Jakarta]","0.0","0.1"
"Complaint Statistic","As an admin I can get complaint statistic with valid credentials","SUCCESS","2023-12-21T10:46:43.9982348+07:00[Asia/Jakarta]","0.0","0.11"
"User Statistic","As an admin I can get user statistic with valid credentials","SUCCESS","2023-12-21T10:46:44.3662616+07:00[Asia/Jakarta]","0.0","0.17"
"Get All User","As a user I can get all user with valid credentials","SUCCESS","2023-12-21T10:47:00.5545452+07:00[Asia/Jakarta]","0.0","0.16"
"User Login","As a user I can login with valid credentials","SUCCESS","2023-12-21T10:47:01.0912151+07:00[Asia/Jakarta]","0.0","0.18"
"Get All Category","As a user I can get all category with valid credentials","SUCCESS","2023-12-21T10:47:04.1305658+07:00[Asia/Jakarta]","0.0","0.37"
"Get Category By Id","As a user I can get category by id with valid credentials","SUCCESS","2023-12-21T10:47:04.770613+07:00[Asia/Jakarta]","0.0","0.14"
"Create Room","As a user I can create room chat with valid credentials","FAILURE","2023-12-21T10:47:05.1006363+07:00[Asia/Jakarta]","0.0","0.1"
"Get Chat By Room Id","As a user I can get chat by room id with valid credentials","SUCCESS","2023-12-21T10:47:05.3966583+07:00[Asia/Jakarta]","0.0","0.19"
"Get All Complaint","As a user I can get all complaint with valid credentials","SUCCESS","2023-12-21T10:47:13.9932905+07:00[Asia/Jakarta]","0.0","0.15"
"Get Complaint By Id","As a user I can get complaint by id with valid credentials","SUCCESS","2023-12-21T10:47:14.2553682+07:00[Asia/Jakarta]","0.0","0.25"
"Get Complaint By Status","As a user I can get solved complaint with valid credentials","SUCCESS","2023-12-21T10:47:14.611398+07:00[Asia/Jakarta]","0.0","0.19"
"Get Complaint By Status","As a user I can get unsolved complaint with valid credentials","SUCCESS","2023-12-21T10:47:14.813237+07:00[Asia/Jakarta]","0.0","0.09"
"FAQ","As a user I can get all faq with valid credentials","SUCCESS","2023-12-21T10:47:15.0012863+07:00[Asia/Jakarta]","0.0","0.16"
