"Story","Title","Result","Date","Stability","Duration (s)"
"Admin Login","As an admin I can login with valid credentials","SUCCESS","2023-12-18T02:55:32.5485735+07:00[Asia/Jakarta]","0.0","12.77"
"Register Admin","As an admin I can register with valid credentials","SUCCESS","2023-12-18T02:55:47.9867109+07:00[Asia/Jakarta]","0.0","1.87"
"Reset Password Admin","As an admin I can reset password with valid credentials","SUCCESS","2023-12-18T02:55:54.4721135+07:00[Asia/Jakarta]","0.0","1.85"
"Search Admin By Id","As an admin I can search admin by id with valid credentials","SUCCESS","2023-12-18T02:56:00.5868313+07:00[Asia/Jakarta]","0.0","1.02"
"Search Admin By Name","As an admin I can search admin by name with valid credentials","FAILURE","2023-12-18T02:56:05.4699268+07:00[Asia/Jakarta]","0.0","0.27"
"Update Admin","As an admin I can update admin with valid credentials","SUCCESS","2023-12-18T02:56:06.5369085+07:00[Asia/Jakarta]","0.0","0.66"
"Update Admin","As an admin I can not update admin with empty name","SUCCESS","2023-12-18T02:56:07.8235698+07:00[Asia/Jakarta]","0.0","0.55"
"Update Admin","As an admin I can not update admin with empty username","SUCCESS","2023-12-18T02:56:08.5299002+07:00[Asia/Jakarta]","0.0","0.44"
"Update Admin","As an admin I can not update admin with empty email","SUCCESS","2023-12-18T02:56:09.0321439+07:00[Asia/Jakarta]","0.0","0.46"
"Update Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-18T02:56:09.5028371+07:00[Asia/Jakarta]","0.0","0.35"
"Update Admin","As an admin I can not update admin with empty password","SUCCESS","2023-12-18T02:56:09.8640675+07:00[Asia/Jakarta]","0.0","0.44"
"Update Admin","As an admin I can not update admin with integer password","SUCCESS","2023-12-18T02:56:10.3194179+07:00[Asia/Jakarta]","0.0","0.19"
"Complaint Solved Statistic","As an admin I can get complaint solved statistic with valid credentials","ERROR","2023-12-18T02:56:11.7252865+07:00[Asia/Jakarta]","0.0","0.27"
"Complaint Statistic","As an admin I can get complaint statistic with valid credentials","FAILURE","2023-12-18T02:56:12.3368886+07:00[Asia/Jakarta]","0.0","0.15"
"User Statistic","As an admin I can get user statistic with valid credentials","SUCCESS","2023-12-18T02:56:12.8892471+07:00[Asia/Jakarta]","0.0","0.22"
"OTP Admin","As an admin I can send otp with valid credentials","FAILURE","2023-12-18T02:56:13.8619484+07:00[Asia/Jakarta]","0.0","0.14"
"OTP","As a user I can send otp with valid credentials","FAILURE","2023-12-18T02:56:14.3329082+07:00[Asia/Jakarta]","0.0","0.16"
"Get All User","As a user I can get all user with valid credentials","SUCCESS","2023-12-18T02:56:14.7722111+07:00[Asia/Jakarta]","0.0","0.42"
"User Login","As a user I can login with valid credentials","SUCCESS","2023-12-18T02:56:15.6829783+07:00[Asia/Jakarta]","0.0","0.39"
"Get All Category","As a user I can get all category with valid credentials","SUCCESS","2023-12-18T02:56:16.9003381+07:00[Asia/Jakarta]","0.0","0.47"
"Get Complaint By Id","As a user I can get category by id with valid credentials","SUCCESS","2023-12-18T02:56:18.0771405+07:00[Asia/Jakarta]","0.0","0.31"
"Create Room","As a user I can create room chat with valid credentials","FAILURE","2023-12-18T02:56:19.129609+07:00[Asia/Jakarta]","0.0","0.24"
"Get Chat By Room Id","As a user I can get chat by room id with valid credentials","ERROR","2023-12-18T02:56:19.7415901+07:00[Asia/Jakarta]","0.0","0.3"
"Create Complaint","As a user I can create complaint with valid credentials","SUCCESS","2023-12-18T02:56:20.4329544+07:00[Asia/Jakarta]","0.0","2.44"
"Get All Complaint","As a user I can get all complaint with valid credentials","SUCCESS","2023-12-18T02:56:28.3544852+07:00[Asia/Jakarta]","0.0","0.5"
"Get Complaint By Id","As a user I can get complaint by id with valid credentials","SUCCESS","2023-12-18T02:56:29.0130012+07:00[Asia/Jakarta]","0.0","0.14"
"Get Complaint By Status","As a user I can get solved complaint with valid credentials","SUCCESS","2023-12-18T02:56:29.2533635+07:00[Asia/Jakarta]","0.0","0.17"
"FAQ","As a user I can get all faq with valid credentials","SUCCESS","2023-12-18T02:56:29.6105411+07:00[Asia/Jakarta]","0.0","0.27"
