"Story","Title","Result","Date","Stability","Duration (s)"
"Update Admin","As an admin I can update admin with valid credentials","SUCCESS","2023-12-21T10:46:40.425185+07:00[Asia/Jakarta]","0.0","0.27"
"Update Admin","As an admin I can not update admin with invalid endpoint","SUCCESS","2023-12-21T10:46:40.7092057+07:00[Asia/Jakarta]","0.0","0.08"
"Update Admin","As an admin I can not update admin with invalid id","SUCCESS","2023-12-21T10:46:40.8052083+07:00[Asia/Jakarta]","0.0","0.08"
"Update Admin","As an admin I can not update admin with username of more than 16 characters","SUCCESS","2023-12-21T10:46:40.8962195+07:00[Asia/Jakarta]","0.0","0.09"
"Update Admin","As an admin I can not update admin with empty name","SUCCESS","2023-12-21T10:46:41.0032256+07:00[Asia/Jakarta]","0.0","0.33"
"Update Admin","As an admin I can not update admin with empty username","SUCCESS","2023-12-21T10:46:41.3522481+07:00[Asia/Jakarta]","0.0","0.27"
"Update Admin","As an admin I can not update admin with empty email","SUCCESS","2023-12-21T10:46:41.6372705+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-21T10:46:41.9542942+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not update admin with empty password","SUCCESS","2023-12-21T10:46:42.2573171+07:00[Asia/Jakarta]","0.0","0.28"
"Update Admin","As an admin I can not update admin with integer password","SUCCESS","2023-12-21T10:46:42.5481289+07:00[Asia/Jakarta]","0.0","0.1"
"Update Admin","As an admin I can not update admin with registered email","FAILURE","2023-12-21T10:46:42.667139+07:00[Asia/Jakarta]","0.0","0.37"
"Update Admin","As an admin I can not update admin with registered username","FAILURE","2023-12-21T10:46:43.5292011+07:00[Asia/Jakarta]","0.0","0.31"
"Update Admin","As an admin I can not update admin with post request","SUCCESS","2023-12-21T10:46:43.8702254+07:00[Asia/Jakarta]","0.0","0.11"
